Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,Rice,2017,2017,kg/ha,2843.7,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,Rice,2017,2017,t,151018.33,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,Rice,2018,2018,kg/ha,2712.3,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,Rice,2018,2018,t,171854.1,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,Rice,2019,2019,kg/ha,2963.6,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,Rice,2019,2019,t,170630.1,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,Rice,2020,2020,kg/ha,3144.9,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,Rice,2020,2020,t,268223,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,Rice,2021,2021,kg/ha,3079.8,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,Rice,2021,2021,t,280633,A,Official figure,
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,Rice,2022,2022,kg/ha,3466.7,X,Figure from international organizations,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,Rice,2022,2022,t,208000,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,231,Ethiopia,5412,Yield,Rice,2023,2023,kg/ha,3366.7,X,Figure from international organizations,
QCL,Crops and livestock products,231,Ethiopia,5510,Production,Rice,2023,2023,t,202000,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,404,Kenya,5412,Yield,"Cassava, fresh",2014,2014,kg/ha,13471.3,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Cassava, fresh",2014,2014,t,858461,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,"Cassava, fresh",2015,2015,kg/ha,14098.7,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Cassava, fresh",2015,2015,t,709926,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,"Cassava, fresh",2016,2016,kg/ha,12288.6,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Cassava, fresh",2016,2016,t,571848,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,"Cassava, fresh",2017,2017,kg/ha,11541.3,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Cassava, fresh",2017,2017,t,789830,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,"Cassava, fresh",2018,2018,kg/ha,15359,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Cassava, fresh",2018,2018,t,945990.91,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,"Cassava, fresh",2019,2019,kg/ha,14176.5,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Cassava, fresh",2019,2019,t,845342,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,"Cassava, fresh",2020,2020,kg/ha,14358.9,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Cassava, fresh",2020,2020,t,886722.31,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,"Cassava, fresh",2021,2021,kg/ha,11632,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Cassava, fresh",2021,2021,t,711890,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,"Cassava, fresh",2022,2022,kg/ha,15049.8,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Cassava, fresh",2022,2022,t,1087300,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,"Cassava, fresh",2023,2023,kg/ha,15626.5,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Cassava, fresh",2023,2023,t,1187800,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2014,2014,g/An,1396,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Meat of chickens, fresh or chilled",2014,2014,t,22000,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2014,2014,1000 An,15761,I,Imputed value,
QCL,Crops and livestock products,404,Kenya,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2015,2015,g/An,1375,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Meat of chickens, fresh or chilled",2015,2015,t,33000,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2015,2015,1000 An,24000,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2016,2016,g/An,1391,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Meat of chickens, fresh or chilled",2016,2016,t,64000,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2016,2016,1000 An,46000,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2017,2017,g/An,1401,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Meat of chickens, fresh or chilled",2017,2017,t,106473,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2017,2017,1000 An,76000,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2018,2018,g/An,1401,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Meat of chickens, fresh or chilled",2018,2018,t,131682.54,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2018,2018,1000 An,94000,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2019,2019,g/An,1408,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Meat of chickens, fresh or chilled",2019,2019,t,88718.66,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2019,2019,1000 An,63000,E,Estimated value,
QCL,Crops and livestock products,404,Kenya,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2020,2020,g/An,1400,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Meat of chickens, fresh or chilled",2020,2020,t,69212.23,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2020,2020,1000 An,49437,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2021,2021,g/An,1400,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Meat of chickens, fresh or chilled",2021,2021,t,89450,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2021,2021,1000 An,63893,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2022,2022,g/An,1400,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Meat of chickens, fresh or chilled",2022,2022,t,93340,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2022,2022,1000 An,66672,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2023,2023,g/An,1400,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,"Meat of chickens, fresh or chilled",2023,2023,t,93622,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2023,2023,1000 An,66873,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,Rice,2014,2014,kg/ha,3954.3,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,Rice,2014,2014,t,112263,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,Rice,2015,2015,kg/ha,3956.6,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,Rice,2015,2015,t,116473,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,Rice,2016,2016,kg/ha,3460.1,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,Rice,2016,2016,t,101510,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,Rice,2017,2017,kg/ha,2671.7,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,Rice,2017,2017,t,81198,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,Rice,2018,2018,kg/ha,4336.7,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,Rice,2018,2018,t,112605,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,Rice,2019,2019,kg/ha,6425.5,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,Rice,2019,2019,t,160585,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,Rice,2020,2020,kg/ha,6397.3,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,Rice,2020,2020,t,180890,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,Rice,2021,2021,kg/ha,5807.4,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,Rice,2021,2021,t,186000,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,Rice,2022,2022,kg/ha,4345.2,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,Rice,2022,2022,t,192299,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5412,Yield,Rice,2023,2023,kg/ha,5882.6,A,Official figure,
QCL,Crops and livestock products,404,Kenya,5510,Production,Rice,2023,2023,t,229064,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,"Cassava, fresh",2014,2014,kg/ha,7655.4,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5510,Production,"Cassava, fresh",2014,2014,t,54324700,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,"Cassava, fresh",2015,2015,kg/ha,7265.9,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5510,Production,"Cassava, fresh",2015,2015,t,57405060,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,"Cassava, fresh",2016,2016,kg/ha,9076.3,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5510,Production,"Cassava, fresh",2016,2016,t,60529864,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,"Cassava, fresh",2017,2017,kg/ha,9073.7,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5510,Production,"Cassava, fresh",2017,2017,t,61350199,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,"Cassava, fresh",2018,2018,kg/ha,9403.8,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5510,Production,"Cassava, fresh",2018,2018,t,65350850,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,"Cassava, fresh",2019,2019,kg/ha,5827.1,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5510,Production,"Cassava, fresh",2019,2019,t,56969160,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,"Cassava, fresh",2020,2020,kg/ha,5779.5,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5510,Production,"Cassava, fresh",2020,2020,t,55565610,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,"Cassava, fresh",2021,2021,kg/ha,5835.8,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5510,Production,"Cassava, fresh",2021,2021,t,58237500,A,Official figure,
QCL,Crops and livestock products,566,Nigeria,5412,Yield,"Cassava, fresh",2022,2022,kg/ha,6014.5,E,Estimated value,
QCL,Crops and livestock products,566,Nigeria,5510,Production,"Cassava, fresh",2022,2022,t,61015339.21,I,Imputed value,
